musical_name	year	url	url_cleaned
Salad Days	1954	/s/saladdays.htm	saladdays
Saturday Night Fever	1998	/s/saturdaynightfever.htm	saturdaynightfever
Say, Darling	1958	/s/saydarling.htm	saydarling
Scandalous	2012	/s/scandalous.htm	scandalous
Scarlet Pimpernel	1997	/s/scarletpimpernelthe.htm	scarletpimpernelthe
School of Rock	2015	/s/schoolofrock.htm	schoolofrock
Scrooge	1992	/s/scrooge.htm	scrooge
Secret Garden	1991	/s/secretgardenthe.htm	secretgardenthe
See What I Wanna See	2005	/s/seewhatiwannasee.htm	seewhatiwannasee
Seesaw	1973	/s/seesaw.htm	seesaw
Seussical	2001	/s/seussical.htm	seussical
Seven Brides For Seven Brothers	1985	/s/sevenbridesforsevenbrothers.htm	sevenbridesforsevenbrothers
She Loves Me	1963	/s/shelovesme.htm	shelovesme
Shout!	2006	/s/shout.htm	shout
Show Boat	1927	/s/showboat.htm	showboat
Shrek	2008	/s/shrek.htm	shrek
Shucked	2023	/s/shucked.htm	shucked
Side Show	1997	/s/sideshow.htm	sideshow
Silence!	2012	/s/silence.htm	silence
Singin' In The Rain	1952	/s/singinintherain.htm	singinintherain
Sister Act The Musical	2009	/s/sisteractthemusical.htm	sisteractthemusical
Six	2020	/s/six.htm	six
Smash	2012	/s/smash.htm	smash
Smile	1986	/s/smile.htm	smile
Smokey Joe's Cafe	1995	/s/smokeyjoescafe.htm	smokeyjoescafe
Snoopy	1975	/s/snoopy.htm	snoopy
Snow White And The Seven Dwarfs	1937	/s/snowwhiteandthesevendwarfs.htm	snowwhiteandthesevendwarfs
So Long, 174th Street	1976	/s/solong174thstreet.htm	solong174thstreet
Some Like It Hot	2022	/s/somelikeithot.htm	somelikeithot
Something Rotten!	2015	/s/somethingrotten.htm	somethingrotten
Sondheim on Sondheim	2010	/s/sondheimonsondheim.htm	sondheimonsondheim
Song & Dance	1995	/s/songdance.htm	songdance
Songs For A New World	1995	/s/songsforanewworld.htm	songsforanewworld
Sound of Music	1959	/s/soundofmusicthe.htm	soundofmusicthe
South Pacific	1949	/s/southpacific.htm	southpacific
Spamalot	2005	/s/spamalot.htm	spamalot
Special Victims Unit	2004	/s/specialvictimsunit.htm	specialvictimsunit
Spider-Man, Turn Off the Dark	2010	/s/spidermanturnoffthedark.htm	spidermanturnoffthedark
SpongeBob SquarePants	2017	/s/spongebobsquarepants.htm	spongebobsquarepants
Spoof Odyssey	2001	/s/spoofodyssey.htm	spoofodyssey
Spring Awakening	2006	/s/springawakening.htm	springawakening
Star Is Born, A	2004	/s/starisborna.htm	starisborna
Starlight Express	1987	/s/starlightexpress.htm	starlightexpress
State Fair	1996	/s/statefair.htm	statefair
Steel Pier	1997	/s/steelpier.htm	steelpier
Story of My Life	2009	/s/storyofmylifethe.htm	storyofmylifethe
Strange Loop	2019	/s/strangeloop.htm	strangeloop
Subways Are for Sleeping	1961	/s/subwaysareforsleeping.htm	subwaysareforsleeping
Sugar	1972	/s/sugar.htm	sugar
Summer of '42	2007	/s/summerof42.htm	summerof42
Summer Stock	1950	/s/summerstock.htm	summerstock
Sunday in the Park With George	1984	/s/sundayintheparkwithgeorge.htm	sundayintheparkwithgeorge
Sunset Boulevard	1994	/s/sunsetboulevard.htm	sunsetboulevard
Sweeney Todd: The Demon Barber of Fleet Street	1979	/s/sweeneytoddthedemonbarberoffleetstreet.htm	sweeneytoddthedemonbarberoffleetstreet
Sweet Charity	1966	/s/sweetcharity.htm	sweetcharity
